item_code,item_id,title,brand,category_id,price,list_price,discount_pct,image_url,avg_rating,sales_count,description
0,p1000,"Samsung X1000 - 8GB RAM, 128GB Storage",Samsung,smartphone,26289,26289,0,https://picsum.photos/seed/p1000/300/200,3.57,4139,High-performance smartphone with excellent camera and display.
1,p1001,Sony Game Console 1001 - 1TB,Sony,gaming_console,40561,42696,5,https://picsum.photos/seed/p1001/300/200,3.46,2757,Next-gen console delivering immersive gaming experiences.
2,p1002,"Samsung X1002 - 8GB RAM, 128GB Storage",Samsung,smartphone,107174,119082,10,https://picsum.photos/seed/p1002/300/200,3.33,2401,High-performance smartphone with excellent camera and display.
3,p1003,Microsoft Game Console 1003 - 1TB,Microsoft,gaming_console,35920,39911,10,https://picsum.photos/seed/p1003/300/200,4.28,2988,Next-gen console delivering immersive gaming experiences.
4,p1004,"Lenovo Tab 1004 - 10.5"" Display, 64GB",Lenovo,tablet,49316,54796,10,https://picsum.photos/seed/p1004/300/200,3.66,4562,Portable tablet ideal for media and light productivity.
5,p1005,"LG Smart TV 1005 - 4K UHD, 43""",LG,tv,112646,125162,10,https://picsum.photos/seed/p1005/300/200,3.87,3758,Crisp 4K HDR display with smart OS and multiple HDMI ports.
6,p1006,"Lenovo Tab 1006 - 10.5"" Display, 64GB",Lenovo,tablet,43480,48311,10,https://picsum.photos/seed/p1006/300/200,3.35,385,Portable tablet ideal for media and light productivity.
7,p1007,"OnePlus X1007 - 8GB RAM, 128GB Storage",OnePlus,smartphone,86172,86172,0,https://picsum.photos/seed/p1007/300/200,4.36,4398,High-performance smartphone with excellent camera and display.
8,p1008,"Sony Mirrorless 1008 - 24MP, 4K Video",Sony,camera,119646,119646,0,https://picsum.photos/seed/p1008/300/200,4.68,2444,High quality imaging for enthusiasts and vloggers.
9,p1009,Boat Wireless Headphones 1009,Boat,headphones,22243,22243,0,https://picsum.photos/seed/p1009/300/200,4.78,2519,Comfortable headphones with active noise cancellation.
10,p1010,"Samsung Smart TV 1010 - 4K UHD, 50""",Samsung,tv,132659,147399,10,https://picsum.photos/seed/p1010/300/200,4.81,1352,Crisp 4K HDR display with smart OS and multiple HDMI ports.
11,p1011,"Fujifilm Mirrorless 1011 - 24MP, 4K Video",Fujifilm,camera,113039,113039,0,https://picsum.photos/seed/p1011/300/200,3.58,2769,High quality imaging for enthusiasts and vloggers.
12,p1012,"Acer UltraBook 1012 - 16GB RAM, 512GB SSD",Acer,laptop,97728,97728,0,https://picsum.photos/seed/p1012/300/200,3.67,3976,Powerful laptop for productivity and light gaming. Long battery life and slim design.
13,p1013,"Sony Smart TV 1013 - 4K UHD, 65""",Sony,tv,62923,69914,10,https://picsum.photos/seed/p1013/300/200,4.67,443,Crisp 4K HDR display with smart OS and multiple HDMI ports.
14,p1014,"Samsung X1014 - 8GB RAM, 128GB Storage",Samsung,smartphone,112935,112935,0,https://picsum.photos/seed/p1014/300/200,3.67,2046,High-performance smartphone with excellent camera and display.
15,p1015,"Realme X1015 - 8GB RAM, 128GB Storage",Realme,smartphone,20224,20224,0,https://picsum.photos/seed/p1015/300/200,3.84,3198,High-performance smartphone with excellent camera and display.
16,p1016,"Fujifilm Mirrorless 1016 - 24MP, 4K Video",Fujifilm,camera,53534,53534,0,https://picsum.photos/seed/p1016/300/200,4.19,4119,High quality imaging for enthusiasts and vloggers.
17,p1017,Bose Wireless Headphones 1017,Bose,headphones,13952,16414,15,https://picsum.photos/seed/p1017/300/200,3.62,4870,Comfortable headphones with active noise cancellation.
18,p1018,"Acer UltraBook 1018 - 16GB RAM, 512GB SSD",Acer,laptop,168192,177044,5,https://picsum.photos/seed/p1018/300/200,3.98,594,Powerful laptop for productivity and light gaming. Long battery life and slim design.
19,p1019,"Asus UltraBook 1019 - 16GB RAM, 512GB SSD",Asus,laptop,86289,95877,10,https://picsum.photos/seed/p1019/300/200,4.62,2478,Powerful laptop for productivity and light gaming. Long battery life and slim design.
